2026-05-27 09:21:46,219 [ACCESS] 127.0.0.1 | admin | 2동 신관 2층 | GET | 200 | admin.integrated_management | /integrated-management?tab=audit_logs&hidden_audit=1 | 37ms | http://127.0.0.1:8080/schedules?view=requirements
2026-05-27 09:21:47,307 [ACCESS] 127.0.0.1 | admin | 2동 신관 2층 | GET | 200 | admin.integrated_management | /integrated-management?tab=login_audit_logs&hidden_audit=1&wp=all&audit_date_from=2026-05-27&audit_date_to=2026-05-27 | 33ms | http://127.0.0.1:8080/integrated-management?tab=audit_logs&hidden_audit=1
2026-05-27 09:21:50,363 [ACCESS] 127.0.0.1 | admin | 2동 신관 2층 | GET | 200 | main.index | / | 38ms | http://127.0.0.1:8080/integrated-management?tab=login_audit_logs&hidden_audit=1&wp=all&audit_date_from=2026-05-27&audit_date_to=2026-05-27
2026-05-27 09:21:51,113 [ACCESS] 127.0.0.1 | admin | 2동 신관 2층 | GET | 200 | production.schedules | /schedules | 40ms | http://127.0.0.1:8080/
2026-05-27 09:39:08,209 [ACCESS] 127.0.0.1 | admin | 2동 신관 2층 | GET | 200 | admin.integrated_management | /integrated-management?tab=audit_logs&hidden_audit=1 | 45ms | http://127.0.0.1:8080/schedules
2026-05-27 09:39:09,514 [ACCESS] 127.0.0.1 | admin | 2동 신관 2층 | GET | 200 | admin.integrated_management | /integrated-management?tab=login_audit_logs&hidden_audit=1&wp=all&audit_date_from=2026-05-27&audit_date_to=2026-05-27 | 32ms | http://127.0.0.1:8080/integrated-management?tab=audit_logs&hidden_audit=1
2026-05-27 09:39:12,579 [ACCESS] 127.0.0.1 | admin | 2동 신관 2층 | GET | 200 | admin.integrated_management | /integrated-management?tab=audit_logs&hidden_audit=1&wp=all&audit_date_from=2026-05-27&audit_date_to=2026-05-27 | 41ms | http://127.0.0.1:8080/integrated-management?tab=login_audit_logs&hidden_audit=1&wp=all&audit_date_from=2026-05-27&audit_date_to=2026-05-27
2026-05-27 09:39:16,664 [ACCESS] 127.0.0.1 | admin | 2동 신관 2층 | GET | 200 | main.index | / | 31ms | http://127.0.0.1:8080/integrated-management?tab=audit_logs&hidden_audit=1&wp=all&audit_date_from=2026-05-27&audit_date_to=2026-05-27
2026-05-27 09:39:35,610 [ACCESS] 127.0.0.1 | admin | 2동 신관 2층 | GET | 200 | production.schedules | /schedules | 27ms | http://127.0.0.1:8080/
2026-05-27 09:40:03,836 [ACCESS] 127.0.0.1 | admin | 2동 신관 2층 | GET | 200 | production.schedules | /schedules?year=2026&month=6&view=calendar | 29ms | http://127.0.0.1:8080/schedules
2026-05-27 09:40:19,495 [ACCESS] 127.0.0.1 | admin | 2동 신관 2층 | GET | 200 | main.index | / | 28ms | http://127.0.0.1:8080/schedules?year=2026&month=6&view=calendar
2026-05-27 09:40:21,157 [ACCESS] 127.0.0.1 | admin | 2동 신관 2층 | GET | 200 | production.schedules | /schedules | 35ms | http://127.0.0.1:8080/
2026-05-27 09:42:02,389 [ACCESS] 127.0.0.1 | admin | 2동 신관 2층 | GET | 200 | production.schedule_requirements_data | /schedules/requirements-data | 15ms | http://127.0.0.1:8080/schedules
2026-05-27 09:42:15,190 [ACCESS] 127.0.0.1 | admin | 2동 신관 2층 | GET | 200 | main.index | / | 35ms | http://127.0.0.1:8080/schedules?view=requirements
